Canal,Estado Reserva,Fecha,Id Reserva,Pais,Regimen Pension,Segmento,Tipo Deposito,Tipo Hab Asignada,Tipo Hab Reservada,Adr,Adultos,Antelacion Reserva,Bebes,Cancelado,fACTURACION,Niños,Noches Finde,Noches Semana,Parking,Tasa de Cancelacion,Vuelve
Direct,Check-Out,01/07/2015,5891,PRT,BB,Direct,No Deposit,C,C,0,2,737,0,0,0,0,0,0,0,0,0
Direct,Canceled,01/07/2015,6618,PRT,HB,Direct,No Deposit,A,A,99.7,2,158,0,1,498.5,0,2,3,0,1,0
Direct,Canceled,01/07/2015,13922,PRT,BB,Direct,No Deposit,A,A,112.05,2,66,0,1,224.1,0,0,2,0,1,0
TA/TO,Canceled,01/07/2015,17885,PRT,BB,Online TA,No Deposit,D,D,97,2,5,0,1,97,0,1,0,0,1,0
TA/TO,Canceled,01/07/2015,17936,PRT,BB,Online TA,No Deposit,A,A,87.9,2,87,0,1,879,0,3,7,0,1,0
TA/TO,Canceled,02/07/2015,22,PRT,BB,Online TA,No Deposit,A,A,103.5,2,66,0,1,207,0,0,2,0,1,0
Corporate,Check-Out,02/07/2015,2022,GBR,BB,Corporate,No Deposit,A,A,75,1,13,0,0,75,0,0,1,0,0,0
TA/TO,Canceled,02/07/2015,2087,PRT,BB,Online TA,No Deposit,A,A,134,2,58,0,1,670,0,2,3,0,1,0
Corporate,Check-Out,02/07/2015,4692,PRT,BB,Corporate,No Deposit,B,A,134,1,1,0,0,134,0,0,1,0,0,1
TA/TO,Canceled,02/07/2015,9968,PRT,BB,Online TA,No Deposit,G,G,195,2,66,0,1,390,2,0,2,0,1,0
TA/TO,Check-Out,02/07/2015,18585,,BB,Online TA,No Deposit,C,A,4,1,2,0,0,4,0,0,1,0,0,0
TA/TO,Check-Out,03/07/2015,4,ARG,BB,Online TA,No Deposit,H,H,147,2,1,0,0,147,0,0,1,1,0,0
TA/TO,Canceled,03/07/2015,2056,PRT,BB,Online TA,No Deposit,H,H,210,2,48,0,1,420,2,1,1,0,1,0
TA/TO,Canceled,03/07/2015,3967,PRT,HB,Online TA,No Deposit,A,A,105.71,2,51,0,1,739.97,0,2,5,0,1,0
TA/TO,Canceled,03/07/2015,4022,PRT,BB,Online TA,No Deposit,D,D,123.11,2,59,0,1,1107.99,0,2,7,0,1,0
Direct,Check-Out,03/07/2015,5895,PRT,BB,Direct,No Deposit,H,H,147,2,0,0,0,147,0,0,1,0,0,0
TA/TO,Check-Out,03/07/2015,11889,ESP,BB,Online TA,No Deposit,C,A,88.2,2,3,0,0,88.2,0,0,1,1,0,0
TA/TO,Canceled,03/07/2015,11961,PRT,BB,Online TA,No Deposit,A,A,120.5,2,60,0,1,723,0,1,5,0,1,0
Direct,Canceled,03/07/2015,13888,PRT,BB,Direct,No Deposit,A,A,131.63,1,25,0,1,1053.04,0,2,6,0,1,0
Direct,Check-Out,03/07/2015,17882,PRT,BB,Direct,No Deposit,C,C,107,2,0,0,0,214,0,0,2,0,0,0
Direct,Check-Out,03/07/2015,17883,PRT,FB,Direct,No Deposit,C,C,103,2,9,0,0,206,0,0,2,0,0,0
TA/TO,Check-Out,04/07/2015,2026,PRT,BB,Online TA,No Deposit,C,A,98,2,9,0,0,98,0,0,1,1,0,0
TA/TO,Check-Out,04/07/2015,5896,PRT,BB,Online TA,No Deposit,E,E,123,2,21,0,0,123,0,0,1,0,0,0
TA/TO,Canceled,04/07/2015,6059,PRT,BB,Online TA,No Deposit,A,A,40.29,2,216,0,1,523.77,0,4,9,0,1,0
TA/TO,Check-Out,04/07/2015,13856,GBR,BB,Online TA,No Deposit,C,A,73.8,2,12,0,0,73.8,0,0,1,0,0,0
TA/TO,Canceled,04/07/2015,15871,PRT,HB,Online TA,No Deposit,A,A,149.4,2,114,0,1,448.2,0,0,3,0,1,0
TA/TO,Check-Out,05/07/2015,1,PRT,BB,Offline TA/TO,No Deposit,E,E,97.5,2,37,0,0,390,0,0,4,0,0,0
Direct,Check-Out,05/07/2015,2,GBR,BB,Direct,No Deposit,G,G,153,2,7,0,0,612,0,0,4,0,0,0
TA/TO,Check-Out,05/07/2015,777,PRT,BB,Offline TA/TO,No Deposit,A,A,55.68,2,183,0,0,55.68,0,0,1,0,0,0
TA/TO,Check-Out,05/07/2015,3951,ESP,HB,Online TA,No Deposit,G,G,154.77,2,18,0,0,619.08,1,0,4,0,0,0
TA/TO,Check-Out,05/07/2015,4704,PRT,HB,Online TA,No Deposit,G,G,201,3,116,0,0,402,0,0,2,1,0,0
TA/TO,Check-Out,05/07/2015,5892,IRL,BB,Online TA,No Deposit,E,D,97,2,68,0,0,388,0,0,4,0,0,0
